IncidentName,CalendarYear,POOJurisdictionalUnit,Fire Type Protection Type,Fire Type,Fire Cause,Size Class,IncidentSize,FireDiscoveryDateTime
Lower Geyser Bas ,1881,WYYNP,NA,NA,NA,NA,4587,NA
Lake Hotel ,1889,WYYNP,NA,NA,NA,NA,3918,NA
Madison Canyon ,1889,WYYNP,NA,NA,NA,NA,1821,NA
Shoshone Lake ,1889,WYYNP,NA,NA,NA,NA,804,NA
Shoshone Lake ,1889,WYYNP,NA,NA,NA,NA,5465,NA
West Thumb ,1889,WYYNP,NA,NA,NA,NA,499,NA
Norris Basin ,1893,WYYNP,NA,NA,NA,NA,892,NA
Shoshone Lake ,1900,WYYNP,NA,NA,NA,NA,2532,NA
Madison/gibbon ,1901,WYYNP,NA,NA,NA,NA,1728,NA
Upper Gyser Basi ,1901,WYYNP,NA,NA,NA,NA,181,NA
Flat Mt ,1910,WYYNP,NA,NA,NA,NA,15257,NA
Juniper Creek ,1910,WYYNP,NA,NA,NA,NA,2295,NA
Mt Holmes ,1910,WYYNP,NA,NA,NA,NA,728,NA
Cougar Creek ,1916,WYYNP,NA,NA,NA,NA,7281,NA
Grizzly Peak ,1919,WYYNP,NA,NA,NA,NA,3115,NA
Mirror Plateau ,1919,WYYNP,NA,NA,NA,NA,2118,NA
Mountain Ash Ck ,1919,WYYNP,NA,NA,NA,NA,1174,NA
Shoshone Geyser ,1919,WYYNP,NA,NA,NA,NA,582,NA
Pitchstone ,1924,WYYNP,NA,NA,NA,NA,1416,NA
Unknown ,1930,WYYNP,NA,NA,NA,NA,984,NA
Chipmunk Creek ,1931,WYYNP,NA,NA,NA,NA,1199,NA
Grayling ,1931,WYYNP,NA,NA,NA,NA,271,NA
Heart Lake ,1931,WYYNP,NA,NA,NA,NA,17484,NA
Mist Cr ,1931,WYYNP,NA,NA,NA,NA,45,NA
Mirror Plateau ,1932,WYYNP,NA,NA,NA,NA,1038,NA
Fern Lake ,1933,WYYNP,NA,NA,NA,NA,878,NA
Madison River ,1933,WYYNP,NA,NA,NA,NA,172,NA
Mt. Ash Creek ,1933,WYYNP,NA,NA,NA,NA,129,NA
Squaw Lake Fire ,1933,WYYNP,NA,NA,NA,NA,147,NA
Cougar Creek ,1934,WYYNP,NA,NA,NA,NA,209,NA
