FORID,IncidentName,CalendarYear,UniqueFireIdentifier,IncidentTypeCategory,IncidentTypeKind,FireDiscoveryDateTime,IncidentSize,POOJurisdictionalAgency,POOJurisdictionalUnit,Longitude,Latitude,RelatedIrwinIDs,Fire Cause,Fire Cause General,Fire Cause Specific,Acres - BIA,Acres - BLM,Acres - ANCSA,Acres - BOR,Acres - City,Acres - County,Acres - DOD,Acres - DOE,Acres - Foreign,Acres - NPS,Acres - Other Federal,Acres - Other Local,Acres - Private,Acres - State,Acres - Tribal,Acres - USFS,Acres - USFWS,MinUniqueness,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedBySystem,CreatedOnDateTime,DataSources,DetectionMethod,DispatchCenterID,EstimatedContainmentDate,Fatalities,FinalFireReportApprovedBy,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FinalFireReportNarrative,FinalStrategyAttainedDateTime,FireCauseActivityGroup,FireCauseAgeCategory,FireCauseComments,FireCauseSpecificDetail,FireCode,FireDepartmentID,FireGrowthCessationDateTime,FireIgnitionDateTime,FireMgmtComplexity,FireOccurenceRecordID,FireOutDateTime,FSJobCode,FSOverrideCode,GACC,HasFatalities,HasInjuries,OBJECTID,InFORM Create Date,InFORM Last Modified Date,INFORMUserName,InFuelTreatment,InitialFireStrategy,InitialLatitude,InitialLongitude,InitialResponseAgencies,InitialResponseDateTime,Injuries,IsCauseProhibited,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsInitialFireStrategyMet,IsMultiRoot,IsPOOOnUnprotectedLand,IsQuarantined,IsTrespass,IsValid,LocalIncidentIdentifier,ModifiedBySystem,ModifiedOnDateTime,NonFederalFinancialCode,OtherStructuresDestroyed,OtherStructuresThreatened,POOCity,POOCounty,POODispatchCenterID,POOFips,POOFireIntensityLevel,POOLandownerCategory,POOLandownerKind,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryWeatherStationIdentifier,ResidencesDestroyed,ResidencesThreatened,Status,UnprotectedLandResponseReason,UtcOffset,CombustionFuelClass,CombustionFuelGroup,InIMSR,InitialIMSRDate,FinalIMSRDate,FireManagementOption,Beneficial Acres - BIA,Beneficial Acres - BLM,Beneficial Acres - ANCSA,Beneficial Acres - BOR,Beneficial Acres - City,Beneficial Acres - County,Beneficial Acres - DOD,Beneficial Acres - DOE,Beneficial Acres - Foreign,Beneficial Acres - NPS,Beneficial Acres - Other Federal,Beneficial Acres - Other Local,Beneficial Acres - Private,Beneficial Acres - State,Beneficial Acres - Tribal,Beneficial Acres - USFS,Beneficial Acres - USFWS
{106ED549-EE60-4C41-B57B-506A85074DEF},Step Up 08/12 - 08/16,2020,2020-WYYNP-002090,PP,FI,8/11/2020 2:09:00 PM,,NPS,WYYNP,-110.58333329999999,44.583333300000049,{B10CD450-F997-46A8-920A-10DA29436727},,,,,,,,,,,,,,,,,,,,,0.97,,DEFAULT,,,,IROC,8/11/2020 3:05:36 PM,,,WYYNPC,,,,,,,,,,,,,NES8,,,,,123654,,,,NRCC,,,13103,3/17/2022 2:53:34 PM,3/17/2022 2:53:34 PM,,,,,,NPS,,,,,0,1,,0,,0,0,1,002090,IROC,8/11/2020 11:00:54 PM,,,,,Park,MTBZC,56029,,,,NPS,WYYNP,US-WY,,,,,,Complete,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{16D834C4-21A9-42A1-934E-6B7A98ED360A},2H3,2020,2020-WYYNP-002004,WF,FI,8/17/2020 9:27:00 PM,0.1,NPS,WYYNP,-110.45833329999999,44.972500000000025,{A6A2D3CF-6095-4F12-A77E-1F22E8581B9A},Human,Recreation and ceremony,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.87,,CERTIFIED,0.1,8/18/2020 7:30:00 PM,8/18/2020 7:33:00 PM,IROC,8/17/2020 10:49:40 PM,,,WYYNPC,,,todd.opperman_nifc,,,8/29/2020 9:57:23 PM,Hikers reported fire near a backcountry campsite.  Hikers put water on the fire to contain it.  Next day two firefighters hiked in to suppress the fire.,,,,,,NF0L,,,,,126678,8/29/2020 6:00:00 PM,,,NRCC,,,24042,3/17/2022 2:55:42 PM,2/13/2025 10:59:58 PM,Irwin FireCause Remapping,0,Full Suppression,,,NPS,8/17/2020 11:30:00 PM,,,1,0,,1,0,,0,0,1,002004,INFORM_Inspector,8/29/2020 9:57:23 PM,,,,,Park,MTBZC,56029,,NPS,Federal,NPS,WYYNP,US-WY,Grass,GR2,,,,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{364C9072-12B3-4B84-9FB1-42F8519A9610},SODA,2020,2020-WYYNP-002002,WF,FI,8/4/2020 12:45:00 AM,0.1,NPS,WYYNP,-110.13554999999997,44.868330000000071,{F25FE3B4-3454-489E-8947-292BE459CA4B},Natural,Natural,Lightning,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,,CERTIFIED,0.1,8/5/2020 12:30:00 AM,8/5/2020 5:30:47 PM,IROC,8/4/2020 4:21:07 PM,,,WYYNPC,,,jcataldo_nifc,,,8/5/2020 9:03:34 PM,,,,,,,NC8R,,,,,128740,8/5/2020 6:30:47 PM,,,NRCC,,,31705,3/17/2022 2:56:48 PM,2/13/2025 11:10:03 PM,jcataldo_nifc,0,Full Suppression,,,NPS,8/4/2020 3:00:00 PM,,,,0,,1,0,,0,0,1,002002,INFORM_Inspector,8/5/2020 9:03:34 PM,,,,,Park,MTBZC,56029,,NPS,Federal,NPS,WYYNP,US-WY,Grass,GR2,,,,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{920C130A-3BB6-418A-B310-C9C6EC5CD94F},Lone Star,2020,2020-WYYNP-002006,WF,FI,8/22/2020 10:00:00 PM,4123,NPS,WYYNP,-110.82111109999994,44.389166700000033,{B9E7F021-78B2-43BC-A44F-34BB80B226B3},Natural,Natural,Lightning,,0,0,0,0,0,0,0,0,4123.61,0,0,0,0,0,0,0,0.99,,CERTIFIED,4118.2682,11/16/2020 2:00:00 PM,11/16/2020 2:05:00 PM,IROC,8/23/2020 12:32:43 AM,,,WYYNPC,10/30/2020 5:00:00 PM,,jcataldo_nifc,,,12/15/2020 6:33:33 PM,"Type 3, long duration fire managed under a point-zone protection strategy successfully, included 80 acres of defensible space treatments utilizing personnel and masticators in the Old Faithful development. ",,,,,,NG2M,,,,Type 4 Incident,131204,11/16/2020 2:10:00 PM,,,NRCC,,,40740,3/17/2022 2:57:54 PM,3/17/2022 2:57:54 PM,jcataldo_nifc,0,Point Zone Protection,,,NPS,8/22/2020 10:30:00 PM,,,,0,1,1,0,,0,0,1,002006,INFORM_Inspector,12/15/2020 6:33:33 PM,,,93,Old Faithful,Teton,MTBZC,56039,,NPS,Federal,NPS,WYYNP,US-WY,Timber,TL3,,,19,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{DC95A49E-9958-4C22-9DC8-377CC667FD69},PICNIC,2020,2020-WYYNP-002003,WF,FI,8/11/2020 3:36:00 PM,0.1,NPS,WYYNP,-110.63166669999998,44.432500000000061,{84EC4251-138C-4D05-AFFB-40E1000E0D07},Human,Other causes,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.99,,CERTIFIED,0.1,,,IROC,8/12/2020 2:30:09 PM,,,WYYNPC,,,jcataldo_nifc,,,8/18/2020 1:49:34 PM,"8/11/20 Report of an abandoned campfire in the Divide Pass day-use area.  Dispatched Old Faithful RVP staff with structure fire engine to investigate report and take initial action if warranted.  Troy Shaffer reported…The fire was located approximately 100 feet from the loop road for the picnic area. The fire was located in the duff behind a log away from the designated picnic sites. No sign of a fire being intentionally built or a fire ring being created. Myself, Michael Curtis, and Eric Wight doused the fire with water and dug up the dirt and duff to ensure it was completely out. The closest guesses I have to guess the cause would be either someone smoking while using the bathroom or lighting their TP on fire after completing their business. Seem like an out of place location for a fire. I looked for any possible evidence of a cause or exact origin and was unable to locate anything of significance.

8/11/20 1730 hours Fire is declared controlled and out.
",,,,,,NEZ3,,,,,133797,8/11/2020 11:30:00 PM,,,NRCC,,,50198,3/17/2022 2:59:03 PM,2/13/2025 10:58:29 PM,Irwin FireCause Remapping,0,Full Suppression,,,NPS,8/11/2020 5:41:00 PM,,,1,0,,1,0,,0,,1,002003,INFORM_Inspector,8/18/2020 1:49:29 PM,,,,,Teton,MTBZC,56039,,NPS,Federal,NPS,WYYNP,US-WY,Timber,TL1,,,,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{D662C442-D4AC-438F-ADBA-CE14B8BE88EC},Cutoff,2020,2020-WYYNP-002005,WF,FI,8/20/2020 2:50:00 AM,0.1,NPS,WYYNP,-110.17472219999996,45.006111100000055,{67794EAC-3B72-43DD-8901-4763E45ECBB9},Natural,Natural,Lightning,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.89,,CERTIFIED,0.1,,,IROC,8/21/2020 7:44:08 PM,,,WYYNPC,,,jcataldo_nifc,,,9/28/2020 5:43:16 PM,Fire detected by a highly reliable backcountry Ranger.  UTL after detection event and presumed natural out.,,,,,,NGT3,,,,,135138,8/27/2020 11:30:00 PM,,,NRCC,,,55196,3/17/2022 3:00:04 PM,2/13/2025 11:17:35 PM,jcataldo_nifc,,Full Suppression,,,NPS,8/20/2020 3:00:00 AM,,,,0,1,1,0,,0,0,1,002005,INFORM_Inspector,9/28/2020 5:43:16 PM,,,,,Park,MTBZC,30067,,NPS,Federal,NPS,WYYNP,US-MT,Timber,TL3,,,,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{74556A4F-BB71-48AB-92A3-33461FF5433D},Hancock,2020,2020-WYYNP-000008,WF,FI,9/21/2020 5:45:00 PM,0.1,NPS,WYYNP,-110.43833329999995,44.184166700000048,{6AC48014-4057-49D2-9891-55ACDF726D31},Natural,Natural,Lightning,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.97,,CERTIFIED,0.1,10/5/2020 1:00:00 PM,10/5/2020 1:05:00 PM,IROC,9/21/2020 9:30:44 PM,,,WYYNPC,,,todd.opperman_nifc,,,11/19/2020 3:32:14 PM,Backcountry rangers reported smoke.  Helicopter recon sized up the fire as a few logs mid slope with low spread potential.  No values at risk and over a mile from a trail. Did not suppress that day due to wet weather forecasted the next day.  Put in monitor status letting wet weather put the fire out.,,,,,,NL3H,,,,,138175,10/5/2020 1:10:00 PM,,,NRCC,,,66396,3/17/2022 3:02:13 PM,2/13/2025 11:16:52 PM,todd.opperman_nifc,,,,,NPS,9/21/2020 7:31:00 PM,,,,0,1,,0,,0,,1,000008,INFORM_Inspector,11/19/2020 3:32:15 PM,,,,,Teton,MTBZC,56039,,NPS,Federal,NPS,WYYNP,US-WY,Timber,TU5,,,,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{85938A76-360B-45DA-809D-6E24BB404049},Branding Iron,2020,2020-WYYNP-002007,WF,FI,9/13/2020 2:19:00 PM,0.1,NPS,WYYNP,-110.69916999999998,44.977220000000045,{485A394B-5CEA-4FF8-838A-8DF366661C4C},Human,Recreation and ceremony,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,,CERTIFIED,0.1,,9/13/2020 3:24:00 PM,IROC,9/13/2020 7:49:10 PM,,,WYYNPC,,,todd.opperman_nifc,,,11/19/2020 3:45:10 PM,"Fire location in at West Yellowstone, MT along Boundary Street just inside Yellowstone NP .  Single burning log.  Hebgren Lake fire department put the fire out.",,,,,,NK74,,,,,150049,9/13/2020 11:30:00 PM,,,NRCC,,,109554,3/17/2022 3:09:31 PM,2/13/2025 11:39:41 PM,Irwin FireCause Remapping,,Full Suppression,,,NPS,9/13/2020 2:20:00 PM,,,,0,1,1,0,,0,,1,002007,INFORM_Inspector,11/19/2020 3:45:10 PM,,,,,Park,MTBZC,56029,,NPS,Federal,NPS,WYYNP,US-WY,Grass-Shrub,GS1,,,,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{3ACA2963-B95C-4464-A696-62AE877F5B0B},Gibbon,2020,2020-WYYNP-002009,WF,FI,9/24/2020 2:36:00 AM,0.1,NPS,WYYNP,-110.77416669999997,44.648055600000077,{6E1E7E32-7A6A-4D16-9B36-F5C1A4A34E8F},Human,Recreation and ceremony,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,,CERTIFIED,0.1,,9/24/2020 4:30:00 AM,IROC,9/24/2020 4:08:56 AM,,,WYYNPC,,,todd.opperman_nifc,,,11/19/2020 3:22:03 PM,,,,,,,NL7K,,,,,172201,9/25/2020 11:30:00 PM,,,NRCC,,,189528,3/17/2022 3:22:18 PM,2/13/2025 11:15:35 PM,Irwin FireCause Remapping,,Full Suppression,,,NPS,9/24/2020 3:00:00 AM,,,,0,1,1,0,,0,,1,002009,INFORM_Inspector,11/19/2020 3:22:03 PM,,,,,Teton,MTBZC,56039,,NPS,Federal,NPS,WYYNP,US-WY,Timber,TU5,,,,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
{B3B5EDE2-B02C-468E-8D03-450318C3D09F},SOUR,2020,2020-WYYNP-002001,WF,FI,8/1/2020 9:40:00 PM,0.1,NPS,WYYNP,-110.32766699999996,44.660833000000025,{4E759C70-A540-433D-AE52-FD8AD9C103D7},Natural,Natural,Lightning,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.97,,CERTIFIED,0.1,8/16/2020 12:55:00 AM,8/16/2020 12:57:00 AM,firecode,8/2/2020 7:57:07 PM,,,WYYNPC,,,todd.opperman_nifc,,,8/29/2020 9:52:00 PM,Fire started 8/2 and disappeared. Appeared again 8/15.  Helitack with helicopter bucket drops suppressed the fire.,,,,,,NC2V,,,,,173821,8/29/2020 6:00:00 PM,,,NRCC,,,195457,3/17/2022 3:22:23 PM,2/13/2025 11:14:19 PM,todd.opperman_nifc,0,Full Suppression,,,NPS,8/2/2020 5:00:00 PM,,,,0,1,1,0,,0,0,1,002001,INFORM_Inspector,8/29/2020 9:52:00 PM,,,,,Park,MTBZC,56029,,NPS,Federal,NPS,WYYNP,US-WY,Timber,TL1,,,,Certified,,-7,,,0,,,,,,,,,,,,,,,,,,,,
